                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1272,                   2.62,                 1.2569,                0.82159,                0.31294,                0.51181,                0.37044,                0.97931,                 2.7579,                 1.0924,             0.00036293,             0.00036293,             0.00036293
                      2,                 1.0942,                 1.5927,                 1.2043,                0.67392,                0.62748,                0.70011,                0.51048,                 1.0877,                 1.8969,                 1.1755,             0.00072419,             0.00072419,             0.00072419
                      3,                 1.0963,                 1.4538,                 1.2122,                0.73333,                0.68468,                0.75436,                 0.5405,                 1.0584,                 1.5968,                 1.2083,              0.0010763,              0.0010763,              0.0010763
                      4,                 1.0939,                 1.4322,                 1.2246,                0.68733,                0.72864,                0.77692,                0.55647,                 1.0532,                 1.6239,                 1.2042,              0.0010698,              0.0010698,              0.0010698
                      5,                 1.0929,                 1.3246,                 1.2054,                0.70539,                0.65142,                0.70576,                0.49857,                 1.1721,                 1.5103,                 1.2656,               0.001056,               0.001056,               0.001056
                      6,                 1.0715,                 1.3001,                 1.2015,                0.79426,                0.72969,                0.81837,                0.59558,                 1.1011,                 1.2454,                 1.2387,              0.0010423,              0.0010423,              0.0010423
                      7,                 1.0473,                 1.2496,                 1.1997,                0.77258,                0.74395,                0.79039,                0.59006,                 1.0521,                 1.2648,                 1.2229,              0.0010285,              0.0010285,              0.0010285
                      8,                 1.0359,                 1.2154,                 1.1957,                0.71317,                0.74614,                0.80274,                0.59054,                 1.0722,                  1.215,                 1.2206,              0.0010148,              0.0010148,              0.0010148
                      9,                 1.0167,                 1.1397,                  1.168,                0.76143,                0.81281,                 0.8388,                0.62528,                 1.0174,                 1.1101,                 1.1438,               0.001001,               0.001001,               0.001001
                     10,                 1.0118,                 1.0999,                 1.1579,                0.82554,                0.73675,                0.83113,                0.62463,                 1.0099,                 1.1312,                  1.162,             0.00098726,             0.00098726,             0.00098726
                     11,                0.97797,                  1.071,                 1.1491,                0.76012,                 0.7746,                0.82277,                0.61469,                 1.0838,                 1.0963,                 1.1895,             0.00097351,             0.00097351,             0.00097351
                     12,                0.98432,                 1.0535,                 1.1568,                0.78304,                0.75654,                0.83994,                0.63519,                 1.0231,                 1.0568,                  1.158,             0.00095977,             0.00095977,             0.00095977
